City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
243,thunder bay,48.4001,-89.3168,15.99,59,100,4.63,CA,1719880074
244,enewetak,11.3474,162.3373,28.41,80,18,8.61,MH,1719880084
245,marshall,34.3834,-86.3333,30.86,45,0,2.57,US,1719880094
246,vila do maio,15.1333,-23.2167,24.44,84,100,5.94,CV,1719880104
247,callao,-12.0667,-77.15,17.46,82,100,4.12,PE,1719879993
248,beledweyne,4.7358,45.2036,24.61,75,100,8.74,SO,1719880124
249,bikenibeu village,1.3673,173.1241,31.98,70,20,5.66,KI,1719880134
250,palekh,56.8028,41.8572,18.46,89,47,2.19,RU,1719880144
251,kuqa,41.7278,82.9364,26.27,26,100,1.95,CN,1719880154
252,lisakovsk,52.5369,62.4936,12.74,90,11,3.29,KZ,1719880164
253,singkil,-7.9855,111.4161,25.4,86,95,1.96,ID,1719880174
254,champerico,14.3,-91.9167,26.65,86,98,4.88,GT,1719880184
255,garoowe,8.4054,48.4845,25.92,58,86,12.25,SO,1719880194
256,al majaridah,19.1236,41.9111,31.97,22,0,1.29,SA,1719880205
257,klyuchi,52.2667,79.1667,18.52,66,100,4.81,RU,1719880215
258,canton,23.1167,113.25,28.97,63,100,5.1,CN,1719879943
259,port hedland,-20.3167,118.5667,20.03,45,45,5.66,AU,1719880235
260,ambodifotatra,-16.9833,49.85,23.2,69,96,8.48,MG,1719880245
261,severnoye,56.3491,78.3619,17.85,87,100,2.98,RU,1719880255
262,carlow,52.8408,-6.9261,10.1,95,12,1.79,IE,1719880265
263,puttalam,8.0362,79.8283,27.61,84,100,6.41,LK,1719880275
264,kilinochchi,9.3961,80.3982,27.03,81,100,4.66,LK,1719880295
265,namsos,64.4662,11.4957,10.03,93,100,1.54,NO,1719880305
266,vilyuchinsk,52.9306,158.4028,11.15,97,100,2.84,RU,1719880315
267,puerto cabezas,14.0351,-83.3888,26.13,90,98,2.73,NI,1719880325
268,coruripe,-10.1256,-36.1756,23.04,76,4,3.0,BR,1719880335
269,taltal,-25.4,-70.4833,15.67,71,12,1.91,CL,1719880220
270,sinop,41.7711,34.8709,16.6,59,0,2.56,TR,1719880356
271,kovdor,67.5662,30.4758,11.39,95,100,4.05,RU,1719880366
272,la gi,10.6667,107.7833,28.91,73,97,3.23,VN,1719880376
273,launceston,-41.45,147.1667,0.8,93,0,4.63,AU,1719880386
274,colonia,50.9333,6.95,15.13,77,0,3.09,DE,1719880396
275,wailua homesteads,22.0669,-159.378,28.44,71,20,6.17,US,1719880406
276,susuman,62.7833,148.1667,19.77,38,2,5.13,RU,1719880416
277,lodeynoye pole,60.726,33.5531,16.36,94,100,4.46,RU,1719880436
278,arkalyk,50.2486,66.9114,13.28,84,85,3.05,KZ,1719880446
279,port hueneme,34.1478,-119.1951,29.69,69,0,3.09,US,1719880466
280,tutoia,-2.7619,-42.2744,25.95,85,6,3.81,BR,1719880476
281,wauchope,-31.45,152.7333,14.98,97,100,1.91,AU,1719880486
282,kuala belait,4.5833,114.1833,24.09,96,100,3.02,BN,1719880496
283,barcelos,41.5388,-8.6151,22.14,74,0,1.77,PT,1719880446
284,geraldton,-28.7667,114.6,12.23,82,20,5.14,AU,1719880517
285,parabel',58.6978,81.4825,15.53,82,24,4.16,RU,1719880527
286,arta,39.1606,20.9853,23.72,61,0,1.6,GR,1719880537
